YEAR,COUNTYFIP,STATEICP,METRO,digital_index
2022,31,52,3,1
2017,0,54,0,1
2022,13,12,3,1
2016,111,43,4,1
2014,109,24,3,0.75
2022,5,13,2,0
2022,0,13,0,1
2021,0,32,0,1
2019,113,49,4,0.75
2014,0,46,4,0
2016,0,71,1,1
2013,113,49,4,0.25
2017,73,71,3,1
2014,37,71,3,0.25
2021,37,71,2,1
2019,0,45,0,1
2018,153,35,3,1
2018,89,71,4,1
2017,0,3,4,1
2019,5,52,4,0
2023,0,71,1,1
2022,0,44,0,0.5
2018,0,54,0,0.75
2021,65,23,4,0
2021,13,61,2,1
2016,0,44,2,1
2022,0,40,0,0.75
2021,0,3,0,0
2022,17,3,3,1
2019,0,3,2,1
2022,91,14,3,1
2020,201,49,3,1
2020,47,13,2,1
2017,0,3,2,0
2018,73,71,3,0.5
2017,1,43,4,1
2021,19,61,4,1
2023,99,23,3,1
2021,0,25,1,1
2022,0,47,0,1
2019,19,61,4,1
2019,53,43,3,1
2019,0,56,4,1
2022,1,13,3,1
2021,37,71,3,1
2022,57,43,3,1
2021,73,41,4,1
2020,25,12,3,1
2019,169,24,1,1
2020,163,22,4,0.75
2018,0,3,3,1
2019,105,25,4,1
2022,0,13,0,0.5
2020,57,47,4,1
2021,439,49,4,1
2021,0,72,1,1
2019,41,24,4,1
2022,3,82,3,1
2020,439,49,4,1
2022,37,71,2,1
2016,29,71,3,1
2019,0,3,3,1
2016,11,43,3,1
2022,0,47,4,1
2017,3,65,4,1
2021,81,23,4,1
2021,0,64,0,1
2023,0,61,0,1
2018,0,32,0,0.5
2023,0,21,0,1
2020,45,14,3,1
2017,15,41,4,0.5
2019,0,22,0,1
2021,13,12,2,1
2019,121,49,4,1
2018,0,24,4,1
2019,0,41,4,0
2022,17,12,2,1
2019,47,13,2,1
2017,0,45,3,1
2022,29,49,4,1
2016,0,25,0,1
2023,59,13,3,1
2018,99,21,1,1
2022,35,48,4,1
2022,0,23,3,1
2022,0,54,0,1
2022,71,45,2,1
2023,135,44,3,1
2017,37,71,3,1
2018,0,24,3,1
2021,81,13,2,1
2020,111,71,4,1
2020,81,23,4,1
2017,37,71,2,1
2017,0,62,2,1
2020,13,71,3,1
2015,29,13,3,0.25
2016,355,49,2,0.75
2019,13,52,3,0
2019,59,71,3,1
2022,139,23,4,1
2023,5,3,3,1
2018,0,3,0,0
2021,133,25,3,1
2018,303,49,2,1
2019,381,49,4,1
2018,151,47,3,1
2018,0,64,0,1
2022,3,82,3,1
2022,125,23,3,1
2019,0,54,1,1
2022,0,43,4,1
2019,47,46,4,1
2020,119,47,4,1
2020,0,3,3,1
2016,0,44,3,1
2020,61,13,2,1
2018,13,61,3,1
2018,95,71,4,1
2016,113,49,2,1
2016,9,1,3,1
2019,77,44,3,1
2019,0,24,1,1
2023,37,71,2,1
2017,49,67,4,1
2018,81,13,2,1
2017,103,45,3,0.75
2020,13,61,2,1
2022,159,47,3,1
2019,0,67,0,1
2022,0,34,0,1
2021,0,40,4,1
2018,0,62,4,1
2023,129,14,3,1
2020,103,43,4,1
2016,0,13,3,1
2014,0,22,0,0.75
2019,0,62,1,1
2017,61,13,2,1
2017,0,41,0,1
2014,0,49,0,0.25
2021,13,61,3,1
2021,3,1,3,1
2021,3,82,3,1
2019,33,73,4,1
2019,0,32,4,1
2023,5,72,3,1
2019,0,13,1,1
2021,0,53,0,1
2020,0,24,1,1
2017,0,35,0,1
2018,37,54,4,1
2016,491,49,4,1
2021,17,14,3,1
2016,0,62,4,1
2016,0,23,0,1
2016,65,71,4,1
2023,93,54,4,1
2016,0,44,4,1
2017,157,54,4,1
2018,37,71,2,1
2020,79,71,4,1
2022,33,73,2,1
2016,0,32,1,1
2022,0,31,1,0
2017,99,43,4,1
2022,71,71,3,1
2020,113,71,3,1
2021,0,49,0,1
2013,0,21,0,0.75
2015,0,48,1,0.75
2019,0,22,0,1
2019,71,71,4,1
2021,0,46,1,1
2023,71,13,4,1
2021,0,49,1,1
2016,71,13,3,1
2023,0,34,1,1
2017,27,13,3,1
2017,71,71,4,1
2020,83,43,3,1
2016,303,49,4,0.25
2016,29,71,4,1
2022,0,21,4,0
2015,37,54,4,0
2017,0,31,4,1
2016,67,44,3,1
2017,125,23,3,1
2023,0,24,1,1
2021,0,45,3,1
2020,0,42,4,1
2021,37,71,3,1
2022,169,24,1,1
2023,37,71,3,1
2019,1,71,4,1
2022,0,45,0,1
