YEAR,Count,Mean,Median,SD,Min,Max
2013,516901,0.33710435050970833,0.3384588632750398,0.0820797194259118,0.078804347826087,0.55859375
2014,497732,0.34428734963460683,0.34079748013458366,0.08754624091113068,0.08213256484149856,0.5950255102040817
2015,492319,0.34617006727893135,0.3453576414552024,0.09123676943132657,0.13161209068010088,0.5990415335463258
2016,2321493,0.8903792510221631,0.8941921631305323,0.04559518227622504,0.654419595314164,0.9780957943925234
2017,2427213,0.9046754881138979,0.91098285983565,0.043894813074864786,0.6725684608120921,0.9872007366482504
2018,2490391,0.9085274609806552,0.9153130559764888,0.04261775917742263,0.702788649706455,0.9879391100702575
2019,2543667,0.9135739402966011,0.920509148173905,0.04191084000737919,0.6866834170854278,0.9915340331865898
2020,2144688,0.8869429616028492,0.900183990202408,0.05499013603914353,0.607178968655209,0.9834010840108403
2021,2658523,0.9160857729552011,0.9236743222492517,0.041296382974097136,0.7012820512820511,0.9850852272727275
2022,2778166,0.9138383377706848,0.9226489590811197,0.04219116343266795,0.6615805946791896,0.9837631327602674
2023,2803638,0.9181615200228948,0.9262724550898243,0.04061271180114644,0.6760620915032672,0.9901000000000001
